attendance_id,student_id,course_id,date,permission,absent_class_periods,reason
0,1900007784,100107462101,05/08/2023,0,4,
1,1900007784,100107462101,12/08/2023,0,4,
2,1900007784,100107462101,19/08/2023,2,0,
3,1900007784,100107462101,26/08/2023,2,0,
4,1900007784,100107462101,29/07/2023,2,0,
5,1900007784,100107462101,31/08/2023,2,0,
6,2000000050,100107462101,05/08/2023,2,0,
7,2000000050,100107462101,12/08/2023,2,0,
8,2000000050,100107462101,19/08/2023,0,4,
9,2000000050,100107462101,26/08/2023,0,4,
10,2000000050,100107462101,29/07/2023,0,4,
11,2000000050,100107462101,31/08/2023,0,4,
12,2000000655,100107462101,05/08/2023,2,0,
13,2000000655,100107462101,12/08/2023,2,0,
14,2000000655,100107462101,19/08/2023,0,4,
15,2000000655,100107462101,26/08/2023,2,0,
16,2000000655,100107462101,29/07/2023,0,4,
17,2000000655,100107462101,31/08/2023,2,0,
18,2000000740,100107462101,05/08/2023,2,0,
19,2000000740,100107462101,12/08/2023,2,0,
20,2000000740,100107462101,19/08/2023,0,4,
21,2000000740,100107462101,26/08/2023,2,0,
22,2000000740,100107462101,29/07/2023,2,0,
23,2000000740,100107462101,31/08/2023,2,0,
24,2000001094,100107462101,05/08/2023,2,0,
25,2000001094,100107462101,12/08/2023,2,0,
26,2000001094,100107462101,19/08/2023,2,0,
27,2000001094,100107462101,26/08/2023,2,0,
28,2000001094,100107462101,29/07/2023,0,4,
29,2000001094,100107462101,31/08/2023,2,0,
30,2000001530,100107462101,05/08/2023,2,0,
31,2000001530,100107462101,12/08/2023,2,0,
32,2000001530,100107462101,19/08/2023,2,0,
33,2000001530,100107462101,26/08/2023,2,0,
34,2000001530,100107462101,29/07/2023,0,4,
35,2000001530,100107462101,31/08/2023,2,0,
36,2000002664,100107462101,05/08/2023,2,0,
37,2000002664,100107462101,12/08/2023,2,0,
38,2000002664,100107462101,19/08/2023,2,0,
39,2000002664,100107462101,26/08/2023,2,0,
40,2000002664,100107462101,29/07/2023,2,0,
41,2000002664,100107462101,31/08/2023,2,0,
42,2000002665,100107462101,05/08/2023,2,0,
43,2000002665,100107462101,12/08/2023,2,0,
44,2000002665,100107462101,19/08/2023,2,0,
45,2000002665,100107462101,26/08/2023,2,0,
46,2000002665,100107462101,29/07/2023,2,0,
47,2000002665,100107462101,31/08/2023,2,0,
48,2000002677,100107462101,05/08/2023,0,4,
49,2000002677,100107462101,12/08/2023,2,0,
50,2000002677,100107462101,19/08/2023,2,0,
51,2000002677,100107462101,26/08/2023,2,0,
52,2000002677,100107462101,29/07/2023,2,0,
53,2000002677,100107462101,31/08/2023,0,4,
54,2000002924,100107462101,05/08/2023,2,0,
55,2000002924,100107462101,12/08/2023,2,0,
56,2000002924,100107462101,19/08/2023,0,4,
57,2000002924,100107462101,26/08/2023,2,0,
58,2000002924,100107462101,29/07/2023,1,1,đi trễ 8h
59,2000002924,100107462101,31/08/2023,0,4,
60,2000003177,100107462101,05/08/2023,2,0,
61,2000003177,100107462101,12/08/2023,2,0,
62,2000003177,100107462101,19/08/2023,0,4,
63,2000003177,100107462101,26/08/2023,0,4,
64,2000003177,100107462101,29/07/2023,0,4,
65,2000003177,100107462101,31/08/2023,1,1,trễ
66,2000003308,100107462101,05/08/2023,2,0,
67,2000003308,100107462101,12/08/2023,2,0,
68,2000003308,100107462101,19/08/2023,2,0,
69,2000003308,100107462101,26/08/2023,0,4,
70,2000003308,100107462101,29/07/2023,0,4,
71,2000003308,100107462101,31/08/2023,0,4,
72,2000003418,100107462101,05/08/2023,2,0,
73,2000003418,100107462101,12/08/2023,2,0,
74,2000003418,100107462101,19/08/2023,2,0,
75,2000003418,100107462101,26/08/2023,2,0,
76,2000003418,100107462101,29/07/2023,2,0,
77,2000003418,100107462101,31/08/2023,2,0,
78,2000003640,100107462101,05/08/2023,2,0,
79,2000003640,100107462101,12/08/2023,2,0,
80,2000003640,100107462101,19/08/2023,2,0,
81,2000003640,100107462101,26/08/2023,2,0,
82,2000003640,100107462101,29/07/2023,2,0,
83,2000003640,100107462101,31/08/2023,2,0,
84,2000003649,100107462101,05/08/2023,2,0,
85,2000003649,100107462101,12/08/2023,2,0,
