subject id,subject name
0,Tiếng Anh 2
1,Toán cao cấp (CNTT)
2,Dịch vụ Hành chính
3,Lập trình
4,Toán rời rạc
5,Công nghệ thông tin
6,Tiếng Anh 3
7,Giáo dục thể chất
8,Kỹ năng giao tiếp
9,Pháp luật đại cương
10,Đề án nghiên cứu (CNTT)
11,Xây dựng hình ảnh và tác phong chuyên nghiệp
12,Tiếng Anh 4
13,Triết học Mác-Lê Nin
14,Khởi nghiệp
15,Thiết kế và phát triển cơ sở dữ liệu
16,Kinh tế chính trị Mác - Lê nin
17,Tiếng Anh 5
18,Bảo mật
19,Chủ nghĩa xã hội khoa học
21,Tiếng Anh 6
22,Công nghệ thông tin
23,Giáo dục quốc phòng
24,Lịch sử Đảng Cộng Sản Việt Nam
25,Thiết kế và phát triển web
26,Hệ điều hành
27,Quản lý dự án (CNTT)
28,Tư tưởng Hồ Chí Minh
29,Hệ thống thông tin doanh nghiệp (CNTT)
30,Kỹ năng giao tiếp (HP2)
31,Cấu trúc dữ liệu và giải thuật
32,Lập trình nâng cao
33,Hệ thống mạng
34,Kiểm thử Phần mềm
35,Kinh doanh thông minh (CNTT)
36,Lập trình giao diện ứng dụng
37,Công nghệ phần mềm
38,Công nghệ đám mây
39,Kiến trúc Phần mềm
40,Mô hình phát triển phần mềm Agile
41,Phát triển ứng dụng
42,Chiến lược thương mại điện tử
43,Hệ thống nhúng thông minh và IoT
44,Quản lý hệ thống dữ liệu (CNTT)
45,Lập trình thiết bị di động
46,Đồ án tốt nghiệp
47,Thực tập
48,Thiết kế và phát triển ứng dụng Web
